mof_name,temperature,pressure,h2_fraction,ch4_fraction,num_atoms,h2_molecules,ch4_molecules,total_molecules,selectivity,framework_density_g_cm3,accessible_surface_area_m2_g,void_fraction,accessible_volume_cm3_g,largest_included_sphere_diameter_angstrom,largest_free_sphere_diameter_angstrom,pore_limiting_diameter_angstrom
MOF_0459,298,60,0.98,0.02,272,40,16,56,0.0510204081632653,0.935691,2812.83,0.23932,0.255755,6.34189,5.33288,6.34189
MOF_0459,298,50,0.9,0.1,272,39,16,55,0.2708333333333333,0.935691,2812.83,0.23932,0.255755,6.34189,5.33288,6.34189
MOF_0459,298,35,0.75,0.25,272,40,15,55,0.8888888888888888,0.935691,2812.83,0.23932,0.255755,6.34189,5.33288,6.34189
MOF_0459,298,25,0.65,0.35,272,42,16,58,1.4134615384615383,0.935691,2812.83,0.23932,0.255755,6.34189,5.33288,6.34189
MOF_0461,298,60,0.98,0.02,1728,298,226,524,0.0269098789958461,0.330717,4781.3,0.68834,2.0813,22.41586,11.98152,22.41586
MOF_0461,298,50,0.9,0.1,1728,299,226,525,0.1470009832841691,0.330717,4781.3,0.68834,2.0813,22.41586,11.98152,22.41586
MOF_0461,298,35,0.75,0.25,1728,296,228,524,0.4327485380116959,0.330717,4781.3,0.68834,2.0813,22.41586,11.98152,22.41586
MOF_0461,298,25,0.65,0.35,1728,293,229,522,0.6889486059791736,0.330717,4781.3,0.68834,2.0813,22.41586,11.98152,22.41586
MOF_0464,298,60,0.98,0.02,52,14,2,16,0.1428571428571428,1.138556,2728.79,0.17722,0.155645,4.80398,4.2195,4.80398
MOF_0464,298,50,0.9,0.1,52,14,2,16,0.7777777777777778,1.138556,2728.79,0.17722,0.155645,4.80398,4.2195,4.80398
MOF_0464,298,35,0.75,0.25,52,14,2,16,2.333333333333333,1.138556,2728.79,0.17722,0.155645,4.80398,4.2195,4.80398
MOF_0464,298,25,0.65,0.35,52,16,2,18,4.307692307692308,1.138556,2728.79,0.17722,0.155645,4.80398,4.2195,4.80398
MOF_0485,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2761.59,0.23256,0.248531,6.28692,5.28447,5.75274
MOF_0485,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2761.59,0.23256,0.248531,6.28692,5.28447,5.75274
